JS_ID,Job_ID
98836,83723
98836,80040
98836,59639
98836,45996
98836,49130
98836,20811
98836,3356
98836,64551
98836,46971
98836,77348
98836,92769
98836,97482
98836,10381
98836,10020
98836,33368
98836,84958
98836,75327
98836,74497
98836,36608
98836,59686
98836,51932
98836,25408
98836,30691
98836,39138
98836,17464
98836,30232
98836,74614
98836,51663
98836,34637
98836,58818
98836,87006
98836,80384
98836,81324
98836,5806
98836,25281
98836,96867
98836,22491
98836,31450
98836,92884
98836,9948
98836,71083
98836,47904
98836,37488
98836,52364
98836,69032
98836,18784
98836,80037
98836,42645
98836,12663
98836,29487
98836,29838
98836,79962
98836,98049
98836,16971
98836,18455
98836,61834
98836,81979
98836,4580
98836,85790
98836,72743
98836,89667
98836,25215
98836,41996
98836,6201
98836,10337
98836,69073
98836,12447
98836,84477
98836,43183
98836,31608
98836,98997
98836,6241
98836,21859
98836,93223
98836,51197
98836,39104
98836,67983
98836,25010
98836,65837
98836,28957
98836,15484
98836,69761
98836,29656
98836,657
98836,48431
98836,65301
98836,72365
98836,4984
98836,69606
98836,55781
98836,18219
98836,64527
98836,87913
98836,46322
98836,34459
98836,9829
98836,15896
98836,32558
98836,48863
98836,35524
98836,91356
98836,90128
98836,23399
98836,18639
98836,14443
98836,27908
98836,30963
98836,34932
98836,70466
98836,92258
98836,14101
98836,18912
98836,77679
98836,5529
354,97373
354,48390
354,65081
354,66729
354,70887
354,15547
354,96580
354,410
354,46051
354,93772
354,84822
354,26833
354,97482
354,2448
354,5963
354,29358
354,80254
354,89505
354,56250
354,36608
354,57857
354,51932
354,4215
354,7585
354,57936
354,74347
354,93634
354,70380
354,34444
354,54697
354,13738
354,29514
354,36814
354,36551
354,30232
354,70310
354,7731
354,85954
354,3404
354,82419
354,23994
354,41439
354,31707
354,44736
354,84987
354,73062
354,66054
354,90140
354,32589
354,54189
354,68531
354,48106
354,34164
354,13906
354,70706
354,87582
354,71238
354,95413
354,18620
354,90697
354,79962
354,56633
354,18455
354,33350
354,93125
354,65017
354,68894
354,48885
354,42318
354,46389
354,92105
354,61863
354,34221
354,58563
354,70629
354,83129
354,99390
354,66201
354,6241
354,62088
354,45530
354,75812
354,98545
354,46986
354,82770
354,1988
354,45482
354,89097
354,59622
354,47541
354,19005
354,70453
354,57644
354,55151
354,9317
354,95485
354,87913
354,7109
354,25673
354,11930
354,21134
354,25000
354,60620
354,98501
354,91356
354,94856
354,51829
354,82956
354,29678
354,24239
354,87565
354,18912
354,42741
354,21553
354,5529
354,23564
354,26974
354,34534
84792,81978
84792,41162
84792,88627
84792,46604
84792,83064
84792,90186
84792,56119
84792,1337
84792,9024
84792,95639
84792,73937
84792,12915
84792,56898
84792,50467
84792,25047
84792,19976
84792,60986
84792,51663
84792,46919
84792,89499
84792,99146
84792,81324
84792,46989
84792,88054
84792,50695
84792,44967
84792,30163
84792,80386
84792,10060
84792,1158
84792,6474
84792,73949
84792,80037
84792,42645
84792,56633
84792,18814
84792,92164
84792,44004
84792,37986
84792,19363
84792,68681
84792,66431
84792,55503
84792,67907
84792,94466
84792,17234
84792,5610
84792,70862
84792,85636
84792,3730
84792,32775
84792,36129
84792,76231
84792,6330
84792,81516
84792,15484
84792,81676
84792,2706
84792,76710
84792,78526
84792,657
84792,14723
84792,95485
84792,9894
84792,11930
84792,86831
84792,66801
84792,68353
84792,32558
84792,60461
84792,52974
84792,18259
84792,77679
84792,90522
84792,12081
78436,13097
78436,97373
78436,34915
78436,48390
78436,84721
78436,98077
78436,24026
78436,71384
78436,65081
78436,88627
78436,66729
78436,92859
78436,15430
78436,76673
78436,83064
78436,38285
78436,28738
78436,29489
78436,56119
78436,27600
78436,3356
78436,64551
78436,96580
78436,70078
78436,62104
78436,4811
78436,96231
78436,94046
78436,95639
78436,10020
78436,56942
78436,17606
78436,17717
78436,61856
78436,7721
78436,59686
78436,56898
78436,44758
78436,33900
78436,20699
78436,8517
78436,21630
78436,7966
78436,100000
78436,70380
78436,34444
78436,27916
78436,60986
78436,40472
78436,81320
78436,90027
78436,20988
78436,89607
78436,42398
78436,36551
78436,19791
78436,57958
78436,82313
78436,7470
78436,34770
78436,52977
78436,55624
78436,53735
78436,61748
78436,94403
78436,37793
78436,839
78436,30183
78436,30599
78436,34876
78436,44736
78436,51431
78436,15881
78436,37585
78436,4738
78436,72763
78436,25281
78436,73062
78436,30927
78436,38984
78436,9948
78436,54189
78436,6883
78436,73570
78436,44967
78436,87582
78436,11226
78436,73949
78436,37000
78436,6091
78436,13775
78436,79962
78436,82626
78436,26561
78436,68911
78436,18455
78436,1895
78436,66974
78436,33350
78436,71030
78436,85790
78436,6865
78436,93204
78436,72743
78436,59461
78436,83591
78436,97794
78436,88483
78436,20136
78436,71440
78436,42590
78436,42318
78436,70816
78436,35211
78436,61863
78436,2805
78436,93674
78436,19363
78436,85554
78436,84166
78436,98543
78436,40958
78436,43183
78436,99589
78436,17352
78436,99390
78436,98997
78436,17234
78436,42639
78436,5610
78436,38138
78436,2529
78436,83866
78436,85636
78436,39104
78436,3730
78436,75812
78436,97860
78436,19006
78436,20201
78436,57201
78436,29496
78436,81516
78436,32410
78436,47541
78436,2706
78436,3517
78436,59535
78436,76710
78436,52076
78436,66022
78436,72365
78436,69606
78436,55781
78436,11034
78436,50208
78436,73144
78436,61789
78436,9829
78436,85948
78436,66801
78436,25073
78436,76170
78436,48863
78436,2608
78436,17113
78436,91356
78436,65713
78436,94856
78436,90128
78436,30963
78436,70466
78436,24239
78436,65880
78436,31785
78436,18912
